goos: linux
goarch: amd64
pkg: cryptna-lab/common/attest
cpu: Intel(R) Core(TM) 7 240H
BenchmarkVerifyFullHistoryAppraisal/events_1000-2        	     562	   2091850 ns/op	 1580554 B/op	   24946 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  392557	      2628 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  411110	      2602 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  464838	      2596 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  410146	      2614 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  402260	      2546 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  406554	      2562 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  412460	      2591 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  465157	      2571 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  409194	      2559 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_1-2    	  415518	      2563 ns/op	    1536 B/op	      51 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  838797	      1403 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  838357	      1415 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  855465	      1448 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  843058	      1414 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  846866	      1430 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  850912	      1418 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  854570	      1404 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  824552	      1396 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  850749	      1410 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/active_sessions_1-2     	  856400	      1428 ns/op	     996 B/op	      27 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   48567	     23682 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   49592	     24034 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   48969	     23803 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   48955	     24180 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   49449	     23763 ns/op	   12193 B/op	     486 allocs/op
BenchmarkVerifyEnforcementPolicy/deleted_sessions_10-2   	   49366	     24190 ns/op	   12193 B/op	     486 allocs/op
